time,RSI
2025-10-20 11:25,49.5145
2025-10-20 11:20,49.6912
2025-10-20 11:15,49.4396
2025-10-20 11:10,49.6534
2025-10-20 11:05,49.8342
2025-10-20 11:00,49.8046
2025-10-20 10:55,49.7060
2025-10-20 10:50,49.8232
2025-10-20 10:45,49.8624
2025-10-20 10:40,49.6948
2025-10-20 10:35,49.7014
2025-10-20 10:30,49.7289
2025-10-20 10:25,49.4321
2025-10-20 10:20,49.6711
2025-10-20 10:15,49.6264
2025-10-20 10:10,49.5321
2025-10-20 10:05,49.4078
2025-10-20 10:00,49.3928
2025-10-20 09:55,49.3555
2025-10-20 09:50,49.4842
2025-10-20 09:45,49.1623
2025-10-20 09:40,49.1890
2025-10-20 09:35,49.0661
2025-10-20 09:30,48.9934
2025-10-20 09:25,48.8877
2025-10-20 09:20,48.8676
2025-10-20 09:15,48.9205
2025-10-20 09:10,48.9373
2025-10-20 09:05,49.0879
2025-10-20 09:00,48.9084
2025-10-20 08:55,48.8733
2025-10-20 08:50,48.8180
2025-10-20 08:45,48.8372
2025-10-20 08:40,48.8898
2025-10-20 08:35,48.7595
2025-10-20 08:30,48.7136
2025-10-20 08:25,48.6993
2025-10-20 08:20,48.6643
2025-10-20 08:15,48.6192
2025-10-20 08:10,48.5892
2025-10-20 08:05,48.5897
2025-10-20 08:00,48.7547
2025-10-20 07:55,48.6049
2025-10-20 07:50,48.5549
2025-10-20 07:45,48.6494
2025-10-20 07:40,48.6095
2025-10-20 07:35,48.6378
2025-10-20 07:30,48.6991
2025-10-20 07:25,48.7227
2025-10-20 07:20,48.6929
2025-10-20 07:15,48.6285
2025-10-20 07:10,48.7319
2025-10-20 07:05,48.5632
2025-10-20 07:00,48.3237
2025-10-20 06:55,48.3799
2025-10-20 06:50,48.3939
2025-10-20 06:45,48.4501
2025-10-20 06:40,48.6237
2025-10-20 06:35,48.3391
2025-10-20 06:30,48.2538
2025-10-20 06:25,48.3287
2025-10-20 06:20,48.3137
2025-10-20 06:15,48.2687
2025-10-20 06:10,48.2437
2025-10-20 06:05,48.2623
2025-10-20 06:00,48.3554
2025-10-20 05:55,48.2707
2025-10-20 05:50,48.3546
2025-10-20 05:45,48.3918
2025-10-20 05:40,48.4851
2025-10-20 05:35,48.5130
2025-10-20 05:30,48.3096
2025-10-20 05:25,48.4027
2025-10-20 05:20,48.4493
2025-10-20 05:15,48.4633
2025-10-20 05:10,48.1899
2025-10-20 05:05,48.1992
2025-10-20 05:00,47.9090
2025-10-20 04:55,48.0898
2025-10-20 04:50,48.0396
2025-10-20 04:45,48.3193
2025-10-20 04:40,48.6017
2025-10-20 04:35,48.7249
2025-10-20 04:30,48.8770
2025-10-20 04:25,48.7872
2025-10-20 04:20,48.8110
2025-10-20 04:15,48.9442
2025-10-20 04:10,48.9392
2025-10-20 04:05,49.1684
2025-10-20 04:00,49.1040
2025-10-17 19:55,48.5686
2025-10-17 19:50,48.5434
2025-10-17 19:45,48.5434
2025-10-17 19:40,48.5233
2025-10-17 19:35,48.5422
2025-10-17 19:30,48.5071
2025-10-17 19:25,48.4820
2025-10-17 19:20,48.5394
2025-10-17 19:15,48.5551
2025-10-17 19:10,48.5526
2025-10-17 19:05,48.5573
2025-10-17 19:00,48.5424
2025-10-17 18:55,48.5127
2025-10-17 18:50,48.4953
2025-10-17 18:45,48.4780
2025-10-17 18:40,48.4873
2025-10-17 18:35,48.5262
2025-10-17 18:30,48.5570
2025-10-17 18:25,48.4536
2025-10-17 18:20,48.4582
2025-10-17 18:15,48.5322
2025-10-17 18:10,48.5415
2025-10-17 18:05,48.5507
2025-10-17 18:00,48.5530
2025-10-17 17:55,48.5783
2025-10-17 17:50,48.5734
2025-10-17 17:45,48.5686
2025-10-17 17:40,48.5613
2025-10-17 17:35,48.5420
2025-10-17 17:30,48.5443
2025-10-17 17:25,48.5008
2025-10-17 17:20,48.6100
2025-10-17 17:15,48.6052
2025-10-17 17:10,48.6325
2025-10-17 17:05,48.6416
2025-10-17 17:00,48.6597
2025-10-17 16:55,48.6358
2025-10-17 16:50,48.6311
2025-10-17 16:45,48.5977
2025-10-17 16:40,48.6563
2025-10-17 16:35,48.7013
2025-10-17 16:30,48.6824
2025-10-17 16:25,48.6112
2025-10-17 16:20,48.3637
2025-10-17 16:15,48.6154
2025-10-17 16:10,48.6515
2025-10-17 16:05,48.6086
2025-10-17 16:00,48.3458
2025-10-17 15:55,48.3362
2025-10-17 15:50,48.2835
2025-10-17 15:45,48.3193
2025-10-17 15:40,48.3908
2025-10-17 15:35,48.4378
2025-10-17 15:30,48.4354
2025-10-17 15:25,48.5562
2025-10-17 15:20,48.5372
2025-10-17 15:15,48.5551
2025-10-17 15:10,48.4224
2025-10-17 15:05,48.3417
2025-10-17 15:00,48.3862
2025-10-17 14:55,48.4829
2025-10-17 14:50,48.4250
2025-10-17 14:45,48.3587
2025-10-17 14:40,48.5095
2025-10-17 14:35,48.5624
2025-10-17 14:30,48.6078
2025-10-17 14:25,48.5584
2025-10-17 14:20,48.5761
2025-10-17 14:15,48.4018
2025-10-17 14:10,48.4195
2025-10-17 14:05,48.2826
2025-10-17 14:00,48.2424
2025-10-17 13:55,48.2165
2025-10-17 13:50,48.0128
2025-10-17 13:45,47.9054
2025-10-17 13:40,47.9956
2025-10-17 13:35,48.1318
2025-10-17 13:30,47.9750
2025-10-17 13:25,47.9925
2025-10-17 13:20,47.8927
2025-10-17 13:15,48.0946
2025-10-17 13:10,47.9327
2025-10-17 13:05,47.8993
2025-10-17 13:00,48.1038
2025-10-17 12:55,48.0443
2025-10-17 12:50,48.2563
2025-10-17 12:45,48.0514
2025-10-17 12:40,48.0514
2025-10-17 12:35,48.1353
2025-10-17 12:30,48.2238
2025-10-17 12:25,48.2143
2025-10-17 12:20,48.1811
2025-10-17 12:15,48.2053
2025-10-17 12:10,48.2142
2025-10-17 12:05,47.9651
2025-10-17 12:00,47.7837
2025-10-17 11:55,47.6519
2025-10-17 11:50,47.7679
2025-10-17 11:45,47.6191
2025-10-17 11:40,47.6023
2025-10-17 11:35,47.3927
2025-10-17 11:30,47.5039
2025-10-17 11:25,47.3856
2025-10-17 11:20,47.5821
2025-10-17 11:15,47.6040
